Page_Number,Type,Price,Price_Per_M2,Surface_m2,Rooms,Bedrooms,Floor,Address,City,PostalCode,Department,Energy_Class,Is_New,Agency,URL,Confidence_Score
66,Appartement,550 000 €, 9 594 €/m²,"57,3 m²",4 pièce(s),2 chambre(s),4,"Montmartre, Paris 18ème (75018)",Paris 18ème,75018,75,G,Oui,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/montmartre/256389611.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Appartement,585 000 €, 9 498 €/m²,"61,6 m²",3 pièce(s),2 chambre(s),3,"Saint Blaise, Paris 20ème (75020)",Paris 20ème,75020,75,D,Oui,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/saint-blaise/256382015.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Appartement,108 000 €, 9 000 €/m²,12 m²,1 pièce(s),N/A,1,"Buttes Chaumont, Paris 19ème (75019)",Paris 19ème,75019,75,N/A,Oui,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/buttes-chaumont/256335985.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
66,Appartement,1 395 000 €, 13 950 €/m²,100 m²,4 pièce(s),3 chambre(s),4,Paris 20ème (75020),Paris 20ème,75020,75,N/A,Oui,N/A,https://www.bellesdemeures.com/256332729/detail.htm,10
66,Appartement,792 000 €, 9 000 €/m²,88 m²,4 pièce(s),3 chambre(s),4,"Amiraux-Simplon-Poissonniers, Paris 18ème (75018)",Paris 18ème,75018,75,N/A,Oui,N/A,https://www.seloger.com/annonces/achat/appartement/paris-18eme-75/goutte-d-or-chateau-rouge/256331283.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Appartement,699 000 €, 9 446 €/m²,74 m²,3 pièce(s),1 chambre(s),3,Paris 20ème (75020),Paris 20ème,75020,75,D,Oui,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/250884289.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Studio,217 942 €, 12 820 €/m²,17 m²,1 pièce(s),N/A,1,"Saint Blaise, Paris 20ème (75020)",Paris 20ème,75020,75,N/A,Oui,N/A,https://www.seloger.com/annonces/achat/appartement/paris-20eme-75/saint-blaise/221929981.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Maison,1 275 000 €, 14 826 €/m²,86 m²,4 pièce(s),3 chambre(s),4,"Gambetta, Paris 20ème (75020)",Paris 20ème,75020,75,N/A,Non,N/A,https://www.seloger.com/annonces/achat/maison/paris-20eme-75/amandiers/255906417.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Appartement,290 000 €, 8 788 €/m²,33 m²,2 pièce(s),1 chambre(s),2,"Buttes Chaumont, Paris 19ème (75019)",Paris 19ème,75019,75,G,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/buttes-chaumont/255712895.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_L,10
66,Appartement,600 000 €, 8 345 €/m²,"71,9 m²",4 pièce(s),3 chambre(s),4,Paris 19ème (75019),Paris 19ème,75019,75,D,Non,N/A,https://www.seloger.com/annonces/achat/appartement/paris-19eme-75/247990491.htm?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M?serp_view=list&search=distributionTypes%3DBuy%26estateTypes%3DHouse%2CApartment%26locations%3DAD09FR43%2CAD09FR44%2CAD09FR45%26page%3D66&feature_priceDropVariantB=true#ln=classified_search_results&m=classified_search_results_classified_classified_detail_M,10
